,time,ppg,ppg2,acc_x,acc_y,acc_z,hr_quality,reference_hr,estimated_hr,sampled_estimated_hr,hr_online
167,6.68,146868.94099015617,-186052.15741042205,778.440944401526,-32.0,-589.559055598474,13.0,86.28273407999998,,,89.0
168,6.72,146845.43141549418,-186514.91817345686,782.4321461181119,-32.0,-595.2964383543355,13.0,86.28291072,,,89.0
169,6.76,147299.22392684588,-186392.69022837994,786.4221613388083,-27.15567732238334,-602.4221613388083,14.0,86.2831872,,,89.0
170,6.8,148266.54817054665,-185664.3932928235,780.7524390262438,-26.41585365791873,-587.0890243945689,14.0,86.28355839999999,,,89.0
171,6.84,149438.799147461,-184601.98636243356,776.0,-35.22484018078678,-583.2248401807868,14.0,86.28401919999999,,,89.0
172,6.88,150714.77981741712,-183317.83221905844,790.3679027318229,-25.63209726817702,-597.5786018212153,14.0,86.28456447999999,,,89.0
173,6.92,152004.78987785277,-182010.49146361428,792.8424390262766,-25.543414631631315,-599.2282926841843,14.0,86.28518912,,,89.0
174,6.96,153099.15863102177,-180600.2706618353,780.8704486710943,-39.129551328905634,-598.3765171096352,100.0,86.285888,82.07179,82.07179,89.0
175,7.0,154366.9246573023,-179127.80593630375,778.3652968030179,-36.90410959094627,-607.0958904090537,91.0,86.28665600000001,82.07179,,89.0
176,7.04,155911.55655724497,-177773.24408246067,777.6428941362066,-29.642894136206575,-604.9286824086197,91.0,86.28748800000001,82.07179,,89.0
177,7.08,157395.10417024672,-176396.41211590887,776.0,-35.0451141533242,-597.6516286155586,91.0,86.28838144000004,82.07179,,89.0
178,7.12,157998.57175932298,-175531.88073122437,785.3606702182825,-37.65983244542937,-612.3811728819944,91.0,86.28933376000002,82.07179,,89.0
179,7.16,155924.6929686192,-177756.378020636,787.3371080682703,-26.67421613654045,-605.3484322730809,91.0,86.29034240000003,82.07179,,89.0
